timestamp,city,club,address,occupancy
2026-06-18T01:27:12Z,Kauno klubai,Raudondvaris - naujas,Raudondvario pl. 169b; Kaunas,1
2026-06-18T01:27:12Z,Vilniaus klubai,Pilaitė (atnaujintas),Vydūno g. 2; Vilnius,1
2026-06-18T01:27:12Z,Vilniaus klubai,Antakalnis,Antakalnio g. 37; Vilnius,100
2026-06-18T01:27:12Z,Vilniaus klubai,Ateities,Ateities g. 31b; Vilnius,0
2026-06-18T01:27:12Z,Vilniaus klubai,Perkūnkiemis,Perkūnkiemio g. 4; Vilnius,0
2026-06-18T01:27:12Z,Vilniaus klubai,Banginis,P. Lukšio g. 34; Vilnius,0
2026-06-18T01:27:12Z,Vilniaus klubai,Europa,Konstitucijos pr. 7A; Vilnius,0
2026-06-18T01:27:12Z,Vilniaus klubai,Vienuolis,Vienuolio g. 4,0
2026-06-18T01:27:12Z,Vilniaus klubai,Skraja,Naugarduko g. 55a; Vilnius,1
2026-06-18T01:27:12Z,Vilniaus klubai,Riešė - jau greitai 🔜,Molėtų g. 13; Didžioji Riešė; Vilniaus r.,100
2026-06-18T01:27:12Z,Vilniaus klubai,Vilniaus Žalgiris - naujas,Žalgirio g. 92; Vilnius,1
2026-06-18T01:27:12Z,Vilniaus klubai,Vilniaus Akropolis - naujas,Ozo g. 25; Vilnius,100
2026-06-18T01:27:12Z,Vilniaus klubai,Pikas - naujas,Ukmergės g. 221; Vilnius,100
2026-06-18T01:27:12Z,Vilniaus klubai,Asanavičiūtė,L. Asanavičiūtės g. 15; Vilnius,0
2026-06-18T02:26:29Z,Šiaulių klubai,Šiaulių Akropolis - naujas,Aido g. 8; Šiauliai,1
2026-06-18T02:26:29Z,Kauno klubai,Šilainiai,Baltų pr. 16; Kaunas,2
2026-06-18T02:26:29Z,Kauno klubai,Savanoriai,Savanorių pr. 168; Kaunas,2
2026-06-18T02:26:29Z,Kauno klubai,Kauno Žalgirio arena,Karaliaus Mindaugo pr. 50; Kaunas,0
2026-06-18T02:26:29Z,Kauno klubai,Urmas,Pramonės pr. 16; Kaunas,2
2026-06-18T02:26:29Z,Kauno klubai,Raudondvaris - naujas,Raudondvario pl. 169b; Kaunas,1
2026-06-18T02:26:29Z,Vilniaus klubai,Pilaitė (atnaujintas),Vydūno g. 2; Vilnius,2
2026-06-18T02:26:29Z,Vilniaus klubai,Antakalnis,Antakalnio g. 37; Vilnius,100
2026-06-18T02:26:29Z,Vilniaus klubai,Ateities,Ateities g. 31b; Vilnius,1
2026-06-18T02:26:29Z,Vilniaus klubai,Perkūnkiemis,Perkūnkiemio g. 4; Vilnius,2
2026-06-18T02:26:29Z,Vilniaus klubai,Banginis,P. Lukšio g. 34; Vilnius,1
2026-06-18T02:26:29Z,Vilniaus klubai,Europa,Konstitucijos pr. 7A; Vilnius,0
2026-06-18T02:26:29Z,Vilniaus klubai,Vienuolis,Vienuolio g. 4,0
2026-06-18T02:26:29Z,Vilniaus klubai,Skraja,Naugarduko g. 55a; Vilnius,1
2026-06-18T02:26:29Z,Vilniaus klubai,Riešė - jau greitai 🔜,Molėtų g. 13; Didžioji Riešė; Vilniaus r.,100
2026-06-18T02:26:29Z,Vilniaus klubai,Vilniaus Žalgiris - naujas,Žalgirio g. 92; Vilnius,2
2026-06-18T02:26:29Z,Vilniaus klubai,Vilniaus Akropolis - naujas,Ozo g. 25; Vilnius,1
2026-06-18T02:26:29Z,Vilniaus klubai,Pikas - naujas,Ukmergės g. 221; Vilnius,0
2026-06-18T02:26:29Z,Vilniaus klubai,Asanavičiūtė,L. Asanavičiūtės g. 15; Vilnius,1
2026-06-18T03:50:03Z,Šiaulių klubai,Šiaulių Akropolis - naujas,Aido g. 8; Šiauliai,3
2026-06-18T03:50:03Z,Kauno klubai,Šilainiai,Baltų pr. 16; Kaunas,6
2026-06-18T03:50:03Z,Kauno klubai,Savanoriai,Savanorių pr. 168; Kaunas,7
2026-06-18T03:50:03Z,Kauno klubai,Kauno Žalgirio arena,Karaliaus Mindaugo pr. 50; Kaunas,4
2026-06-18T03:50:03Z,Kauno klubai,Urmas,Pramonės pr. 16; Kaunas,7
2026-06-18T03:50:03Z,Kauno klubai,Raudondvaris - naujas,Raudondvario pl. 169b; Kaunas,9
2026-06-18T03:50:03Z,Vilniaus klubai,Pilaitė (atnaujintas),Vydūno g. 2; Vilnius,6
2026-06-18T03:50:03Z,Vilniaus klubai,Antakalnis,Antakalnio g. 37; Vilnius,1
2026-06-18T03:50:03Z,Vilniaus klubai,Ateities,Ateities g. 31b; Vilnius,4
2026-06-18T03:50:03Z,Vilniaus klubai,Perkūnkiemis,Perkūnkiemio g. 4; Vilnius,5
2026-06-18T03:50:03Z,Vilniaus klubai,Banginis,P. Lukšio g. 34; Vilnius,4
2026-06-18T03:50:03Z,Vilniaus klubai,Europa,Konstitucijos pr. 7A; Vilnius,2
2026-06-18T03:50:03Z,Vilniaus klubai,Vienuolis,Vienuolio g. 4,3
2026-06-18T03:50:03Z,Vilniaus klubai,Skraja,Naugarduko g. 55a; Vilnius,4
2026-06-18T03:50:03Z,Vilniaus klubai,Riešė - jau greitai 🔜,Molėtų g. 13; Didžioji Riešė; Vilniaus r.,100
2026-06-18T03:50:03Z,Vilniaus klubai,Vilniaus Žalgiris - naujas,Žalgirio g. 92; Vilnius,13
2026-06-18T03:50:03Z,Vilniaus klubai,Vilniaus Akropolis - naujas,Ozo g. 25; Vilnius,4
2026-06-18T03:50:03Z,Vilniaus klubai,Pikas - naujas,Ukmergės g. 221; Vilnius,3
2026-06-18T03:50:03Z,Vilniaus klubai,Asanavičiūtė,L. Asanavičiūtės g. 15; Vilnius,4
2026-06-18T03:50:03Z,Kauno klubai,Kauno Žalgirio baseinas,Karaliaus Mindaugo pr. 50; Kaunas,11
2026-06-18T05:42:04Z,Šiaulių klubai,Šiaulių Akropolis - naujas,Aido g. 8; Šiauliai,6
2026-06-18T05:42:04Z,Kauno klubai,Šilainiai,Baltų pr. 16; Kaunas,18
2026-06-18T05:42:04Z,Kauno klubai,Savanoriai,Savanorių pr. 168; Kaunas,15
2026-06-18T05:42:04Z,Kauno klubai,Kauno Žalgirio arena,Karaliaus Mindaugo pr. 50; Kaunas,8
2026-06-18T05:42:04Z,Kauno klubai,Urmas,Pramonės pr. 16; Kaunas,17
2026-06-18T05:42:04Z,Kauno klubai,Raudondvaris - naujas,Raudondvario pl. 169b; Kaunas,26
2026-06-18T05:42:04Z,Vilniaus klubai,Pilaitė (atnaujintas),Vydūno g. 2; Vilnius,13
2026-06-18T05:42:04Z,Vilniaus klubai,Antakalnis,Antakalnio g. 37; Vilnius,7
2026-06-18T05:42:04Z,Vilniaus klubai,Ateities,Ateities g. 31b; Vilnius,11
2026-06-18T05:42:04Z,Vilniaus klubai,Perkūnkiemis,Perkūnkiemio g. 4; Vilnius,7
2026-06-18T05:42:04Z,Vilniaus klubai,Banginis,P. Lukšio g. 34; Vilnius,11
2026-06-18T05:42:04Z,Vilniaus klubai,Europa,Konstitucijos pr. 7A; Vilnius,7
2026-06-18T05:42:04Z,Vilniaus klubai,Vienuolis,Vienuolio g. 4,10
2026-06-18T05:42:04Z,Vilniaus klubai,Skraja,Naugarduko g. 55a; Vilnius,11
2026-06-18T05:42:04Z,Vilniaus klubai,Riešė - jau greitai 🔜,Molėtų g. 13; Didžioji Riešė; Vilniaus r.,100
2026-06-18T05:42:04Z,Vilniaus klubai,Vilniaus Žalgiris - naujas,Žalgirio g. 92; Vilnius,24
2026-06-18T05:42:04Z,Vilniaus klubai,Vilniaus Akropolis - naujas,Ozo g. 25; Vilnius,9
2026-06-18T05:42:04Z,Vilniaus klubai,Pikas - naujas,Ukmergės g. 221; Vilnius,9
2026-06-18T05:42:04Z,Vilniaus klubai,Asanavičiūtė,L. Asanavičiūtės g. 15; Vilnius,9
2026-06-18T05:42:04Z,Kauno klubai,Kauno Žalgirio baseinas,Karaliaus Mindaugo pr. 50; Kaunas,16
2026-06-18T07:19:31Z,Šiaulių klubai,Šiaulių Akropolis - naujas,Aido g. 8; Šiauliai,8
2026-06-18T07:19:31Z,Kauno klubai,Šilainiai,Baltų pr. 16; Kaunas,23
2026-06-18T07:19:31Z,Kauno klubai,Savanoriai,Savanorių pr. 168; Kaunas,18
2026-06-18T07:19:31Z,Kauno klubai,Kauno Žalgirio arena,Karaliaus Mindaugo pr. 50; Kaunas,8
2026-06-18T07:19:31Z,Kauno klubai,Urmas,Pramonės pr. 16; Kaunas,19
2026-06-18T07:19:31Z,Kauno klubai,Raudondvaris - naujas,Raudondvario pl. 169b; Kaunas,34
2026-06-18T07:19:31Z,Vilniaus klubai,Pilaitė (atnaujintas),Vydūno g. 2; Vilnius,15
2026-06-18T07:19:31Z,Vilniaus klubai,Antakalnis,Antakalnio g. 37; Vilnius,9
2026-06-18T07:19:31Z,Vilniaus klubai,Ateities,Ateities g. 31b; Vilnius,12
2026-06-18T07:19:31Z,Vilniaus klubai,Perkūnkiemis,Perkūnkiemio g. 4; Vilnius,12
2026-06-18T07:19:31Z,Vilniaus klubai,Banginis,P. Lukšio g. 34; Vilnius,16
2026-06-18T07:19:31Z,Vilniaus klubai,Europa,Konstitucijos pr. 7A; Vilnius,10
2026-06-18T07:19:31Z,Vilniaus klubai,Vienuolis,Vienuolio g. 4,14
2026-06-18T07:19:31Z,Vilniaus klubai,Skraja,Naugarduko g. 55a; Vilnius,15
2026-06-18T07:19:31Z,Vilniaus klubai,Riešė - jau greitai 🔜,Molėtų g. 13; Didžioji Riešė; Vilniaus r.,100
2026-06-18T07:19:31Z,Vilniaus klubai,Vilniaus Žalgiris - naujas,Žalgirio g. 92; Vilnius,20
2026-06-18T07:19:31Z,Vilniaus klubai,Vilniaus Akropolis - naujas,Ozo g. 25; Vilnius,21
2026-06-18T07:19:31Z,Vilniaus klubai,Pikas - naujas,Ukmergės g. 221; Vilnius,18
2026-06-18T07:19:31Z,Vilniaus klubai,Asanavičiūtė,L. Asanavičiūtės g. 15; Vilnius,16
2026-06-18T07:19:31Z,Kauno klubai,Kauno Žalgirio baseinas,Karaliaus Mindaugo pr. 50; Kaunas,27
